N/A,Sample1,IR88888-UBN3-4,0,"IR^88888-UBN3-4	;space expected between IR and plant number#IR88888^-UBN3-4	;string pattern not recognized. #IR88888-UBN^3-4	;space expected between location code and plant number#IR88888-UBN3^-4	;string pattern not recognized. #",N/A,Sample3,1,in standardized format,"Sample3
Sample1"
N/A,IR04A115/IR06F148,IR02A496,22,in standardized format,"IR02A496",INMAYEBAW,23,in standardized format,"INMAYEBAW
IR04A115/IR06F148"
N/A,IR04A115/IR06F393,IR04A115,24,in standardized format,"IR04A115",IR06F148,25,in standardized format,"IR06F148
IR04A115/IR06F393"
N/A,IR04A115/IR06F459,IR04A115,26,in standardized format,"IR04A115",IR06F393,27,in standardized format,"IR06F393
IR04A115/IR06F459"
N/A,IRRI 151/IRRI 149,IR04A115,28,in standardized format,"IR04A115",IR06F459,29,in standardized format,"IR06F459
IRRI 151/IRRI 149"
N/A,IRRI 151/IR07F297,IRRI 151,30,in standardized format,"IRRI 151",IRRI 149,31,in standardized format,"IRRI 149
IRRI 151/IR07F297"
N/A,IRRI 151/IR10F221,IRRI 151,32,in standardized format,"IRRI 151",IR07F297,33,in standardized format,"IR07F297
IRRI 151/IR10F221"
N/A,IR05N412/IR10F379,IRRI 151,34,in standardized format,"IRRI 151",IR10F221,35,in standardized format,"IR10F221
IR05N412/IR10F379"
N/A,IR05N412/IR10F382,IR05N412,36,in standardized format,"IR05N412",IR10F379,37,in standardized format,"IR10F379
IR05N412/IR10F382"
N/A,IR05N412/IR10F388,IR05N412,38,in standardized format,"IR05N412",IR10F382,39,in standardized format,"IR10F382
IR05N412/IR10F388"
N/A,IR05N419/IR10F402,IR05N412,40,in standardized format,"IR05N412",IR10F388,41,in standardized format,"IR10F388
IR05N419/IR10F402"
N/A,IR05N419/IR 87707-446-B-B-B,IR05N419,42,in standardized format,"IR05N419",IR10F402,43,in standardized format,"IR10F402
IR05N419/IR 87707-446-B-B-B"
N/A,IR05N419/IR 88633:1-66-B-1-B,IR05N419,44,in standardized format,"IR05N419",IR 87707-446-B-B-B,45,in standardized format,"IR 87707#IR 87707-446#IR 87707-446-B#IR 87707-446-B-B#IR 87707-446-B-B-B
IR05N419/IR 88633:1-66-B-1-B"
N/A,IR06A145/IR 93312-30-101-20-3-66-6,IR06A145,46,in standardized format,"IR06A145",IR 93312-30-101-20-13-64-21,47,in standardized format,"IR 93312#IR 93312-30#IR 93312-30-101#IR 93312-30-101-20#IR 93312-30-101-20-13#IR 93312-30-101-20-13-64#IR 93312-30-101-20-13-64-21
IR06A145/IR 93312-30-101-20-3-66-6"
N/A,IR06A145/IR10L137,IR06A145,48,in standardized format,"IR06A145",IR 93312-30-101-20-3-66-6,49,in standardized format,"IR 93312#IR 93312-30#IR 93312-30-101#IR 93312-30-101-20#IR 93312-30-101-20-3#IR 93312-30-101-20-3-66#IR 93312-30-101-20-3-66-6
IR06A145/IR10L137"
N/A,IR06A150/IR10L149,IR06A145,50,in standardized format,"IR06A145",IR10L137,51,in standardized format,"IR10L137
IR06A150/IR10L149"
N/A,IR06A150/IR 50,IR06A150,52,in standardized format,"IR06A150",IR10L149,53,in standardized format,"IR10L149
IR06A150/IR 50"
N/A,IR06A150/IR 66,IR06A150,54,in standardized format,"IR06A150",IR 50,55,in standardized format,"IR 50
IR06A150/IR 66"
N/A,IR06N170/KALA RATA 1-24,IR06A150,56,in standardized format,"IR06A150",IR 66,57,in standardized format,"IR 66
IR06N170/KALA RATA 1-24"
N/A,IR06N170/KHAIYAN,IR06N170,58,in standardized format,"IR06N170",KALA RATA 1-24,59,in standardized format,"KALA RATA 1#KALA RATA 1-24
IR06N170/KHAIYAN"
N/A,IR06N170/KHO,IR06N170,60,in standardized format,"IR06N170",KHAIYAN,61,in standardized format,"KHAIYAN
IR06N170/KHO"
N/A,IR06N209/IR 97703-457-42-13,IR06N170,62,in standardized format,"IR06N170",KHO,63,in standardized format,"KHO
IR06N209/IR 97703-457-42-13"
N/A,IR06N209/IR 97703-468-21-39,IR06N209,64,in standardized format,"IR06N209",IR 97703-457-42-13,65,in standardized format,"IR 97703#IR 97703-457#IR 97703-457-42#IR 97703-457-42-13
IR06N209/IR 97703-468-21-39"
N/A,IR06N209/MANAWTHUKHA,IR06N209,66,in standardized format,"IR06N209",IR 97703-468-21-39,67,in standardized format,"IR 97703#IR 97703-468#IR 97703-468-21#IR 97703-468-21-39
IR06N209/MANAWTHUKHA"
N/A,IR06N234/IRRI 127,IR06N209,68,in standardized format,"IR06N209",MANAWTHUKHA,69,in standardized format,"MANAWTHUKHA
IR06N234/IRRI 127"
N/A,IR06N234/IRRI 134,IR06N234,70,in standardized format,"IR06N234",IRRI 127,71,in standardized format,"IRRI 127
IR06N234/IRRI 134"
N/A,IR06N234/MA ZHAN (RED),IR06N234,72,in standardized format,"IR06N234",IRRI 134,73,in standardized format,"IRRI 134
IR06N234/MA ZHAN (RED)"
N/A,IR08A172/MEKONGGA,IR06N234,74,in standardized format,"IR06N234",MA ZHAN (RED),75,in standardized format,"MA ZHAN (RED)
IR08A172/MEKONGGA"
N/A,IR08A172/MTU 1010,IR08A172,76,in standardized format,"IR08A172",MEKONGGA,77,in standardized format,"MEKONGGA
IR08A172/MTU 1010"
N/A,IR08A172/NANHI,IR08A172,78,in standardized format,"IR08A172",MTU 1010,79,in standardized format,"MTU 1010
IR08A172/NANHI"
N/A,IR08N134/NSICRC 112,IR08A172,80,in standardized format,"IR08A172",NANHI,81,in standardized format,"NANHI
IR08N134/NSICRC 112"
N/A,IR08N134/NSIC RC 146,IR08N134,82,in standardized format,"IR08N134",NSICRC 112,83,in standardized format,"NSICRC 112
IR08N134/NSIC RC 146"
N/A,IR08N134/OM 4498,IR08N134,84,in standardized format,"IR08N134",NSIC RC 146,85,in standardized format,"NSIC RC 146
IR08N134/OM 4498"
N/A,IR08N136/PH 218-5-3-1,IR08N134,86,in standardized format,"IR08N134",OM 4498,87,in standardized format,"OM 4498
IR08N136/PH 218-5-3-1"
N/A,IR08N136/TKM 9,IR08N136,88,in standardized format,"IR08N136",SAN HUANG ZHAN NO 2,89,in standardized format,"SAN HUANG ZHAN NO 2
IR08N136/TKM 9"
N/A,IR08N185/A 69-1,IR08N136,90,in standardized format,"IR08N136",TKM 9,91,in standardized format,"TKM 9
IR08N185/A 69-1"
N/A,IR08N185/BINADHAN 7,IR08N185,92,in standardized format,"IR08N185",AZUCENA,93,in standardized format,"AZUCENA
IR08N185/BINADHAN 7"
N/A,IR09A104/BR 28,IR08N185,94,in standardized format,"IR08N185",BINADHAN 7,95,in standardized format,"BINADHAN 7
IR09A104/BR 28"
N/A,IR09A104/BR 29,IR09A104,96,in standardized format,"IR09A104",BR 28,97,in standardized format,"BR 28
IR09A104/BR 29"
N/A,IR09A104/CAPSULE,IR09A104,98,in standardized format,"IR09A104",BR 29,99,in standardized format,"BR 29
IR09A104/CAPSULE"
N/A,IR09A136/CHERIVIRUPPU,IR09A104,100,in standardized format,"IR09A104",CAPSULE,101,in standardized format,"CAPSULE
IR09A136/CHERIVIRUPPU"
N/A,IR09A136/CSR 36,IR09A136,102,in standardized format,"IR09A136",CHERIVIRUPPU,103,in standardized format,"CHERIVIRUPPU
IR09A136/CSR 36"
N/A,IR09A136/IR 66946-3R-116-1-1,IR09A136,104,in standardized format,"IR09A136",CSR 36,105,in standardized format,"CSR 36
IR09A136/IR 66946-3R-116-1-1"
N/A,IR09N274/IR 66946-3R-149-1-1,IR09A136,106,in standardized format,"IR09A136",IR 66946-3R-116-1-1,107,"IR 66946-3R^-116-1-1	;string pattern not recognized. #",N/A
N/A,IR09N274/IR 29,IR09N274,108,in standardized format,"IR09N274",IR 66946-3R-149-1-1,109,"IR 66946-3R^-149-1-1	;string pattern not recognized. #",N/A
N/A,IR09N274/IR 55179-3B-11-3,IR09N274,110,in standardized format,"IR09N274",IR 29,111,in standardized format,"IR 29
IR09N274/IR 55179-3B-11-3"
N/A,IR09N473/IR03W134,IR09N274,112,in standardized format,"IR09N274",IR 55179-3B-11-3,113,in standardized format,"IR 55179#IR 55179-3B#IR 55179-3B-11#IR 55179-3B-11-3
IR09N473/IR03W134"
N/A,IR09N473/IR 87969-B-SDO 6-3-2-B,IR09N473,114,in standardized format,"IR09N473",IR03W134,115,in standardized format,"IR03W134
IR09N473/IR 87969-B-SDO 6-3-2-B"
N/A,IR09N473/IR06M139,IR09N473,116,in standardized format,"IR09N473",IR 87969-B-SDO 6-3-2-B,117,"IR 87969-B-SDO 6^-3-2-B	;string pattern not recognized. #",N/A
N/A,IR09N499/IR06M143,IR09N473,118,in standardized format,"IR09N473",IR06M139,119,in standardized format,"IR06M139
IR09N499/IR06M143"
N/A,IR09N499/IR 58443-6B-10-3,IR09N499,120,in standardized format,"IR09N499",IR06M143,121,in standardized format,"IR06M143
IR09N499/IR 58443-6B-10-3"
N/A,IR09N499/IRRI 147,IR09N499,122,in standardized format,"IR09N499",IR 58443-6B-10-3,123,in standardized format,"IR 58443#IR 58443-6B#IR 58443-6B-10#IR 58443-6B-10-3
IR09N499/IRRI 147"
N/A,IR09N500/IR 70023-4B-R-12-3-1,IR09N499,124,in standardized format,"IR09N499",IRRI 147,125,in standardized format,"IRRI 147
IR09N500/IR 70023-4B-R-12-3-1"
N/A,IR09N500/IRRI 165,IR09N500,126,in standardized format,"IR09N500",IR 70023-4B-R-12-3-1,127,in standardized format,"IR 70023#IR 70023-4B#IR 70023-4B-R#IR 70023-4B-R-12#IR 70023-4B-R-12-3#IR 70023-4B-R-12-3-1
IR09N500/IRRI 165"
N/A,IR09N500/IR10F339,IR09N500,128,in standardized format,"IR09N500",IRRI 165,129,in standardized format,"IRRI 165
IR09N500/IR10F339"
N/A,IR09N522/IR10F365,IR09N500,130,in standardized format,"IR09N500",IR10F339,131,in standardized format,"IR10F339
IR09N522/IR10F365"
N/A,IR09N522/IR10F469,IR09N522,132,in standardized format,"IR09N522",IR10F365,133,in standardized format,"IR10F365
IR09N522/IR10F469"
N/A,IR09N522/IR10F501,IR09N522,134,in standardized format,"IR09N522",IR10F469,135,in standardized format,"IR10F469
IR09N522/IR10F501"
N/A,IR09N542/IR10F548,IR09N522,136,in standardized format,"IR09N522",IR10F501,137,in standardized format,"IR10F501
IR09N542/IR10F548"
N/A,IR09N542/IR10F558,IR09N542,138,in standardized format,"IR09N542",IR10F548,139,in standardized format,"IR10F548
IR09N542/IR10F558"
N/A,IR09N542/IR10F595,IR09N542,140,in standardized format,"IR09N542",IR10F558,141,in standardized format,"IR10F558
IR09N542/IR10F595"
N/A,IR10F290/IR10F616,IR09N542,142,in standardized format,"IR09N542",IR10F595,143,in standardized format,"IR10F595
IR10F290/IR10F616"
N/A,IR10F290/IR10F627,IR10F290,144,in standardized format,"IR10F290",IR10F616,145,in standardized format,"IR10F616
IR10F290/IR10F627"
N/A,IR10F290/IR10F629,IR10F290,146,in standardized format,"IR10F290",IR10F627,147,in standardized format,"IR10F627
IR10F290/IR10F629"
N/A,IR10F388/IR10F630,IR10F290,148,in standardized format,"IR10F290",IR10F629,149,in standardized format,"IR10F629
IR10F388/IR10F630"
N/A,IR10F388/IR10F699,IR10F388,150,in standardized format,"IR10F388",IR10F630,151,in standardized format,"IR10F630
IR10F388/IR10F699"
N/A,IR10F388/ASD 1,IR10F388,152,in standardized format,"IR10F388",IR10F699,153,in standardized format,"IR10F699
IR10F388/ASD 1"
N/A,IR10M122/CIHERANG,IR10F388,154,in standardized format,"IR10F388",ASD 1,155,in standardized format,"ASD 1
IR10M122/CIHERANG"
N/A,IR10M122/INMAYEBAW,IR10M122,156,in standardized format,"IR10M122",CIHERANG,157,in standardized format,"CIHERANG
IR10M122/INMAYEBAW"
N/A,IR10M122/IR06F148,IR10M122,158,in standardized format,"IR10M122",INMAYEBAW,159,in standardized format,"INMAYEBAW
IR10M122/IR06F148"
N/A,IR10M144/IR06F393,IR10M122,160,in standardized format,"IR10M122",IR06F148,161,in standardized format,"IR06F148
IR10M144/IR06F393"
N/A,IR10M144/IR06F459,IR10M144,162,in standardized format,"IR10M144",IR06F393,163,in standardized format,"IR06F393
IR10M144/IR06F459"
N/A,IR10M144/IRRI 149,IR10M144,164,in standardized format,"IR10M144",IR06F459,165,in standardized format,"IR06F459
IR10M144/IRRI 149"
N/A,IR10N105/IR07F297,IR10M144,166,in standardized format,"IR10M144",IRRI 149,167,in standardized format,"IRRI 149
IR10N105/IR07F297"
N/A,IR10N105/IR10F221,IR10N105,168,in standardized format,"IR10N105",IR07F297,169,in standardized format,"IR07F297
IR10N105/IR10F221"
N/A,IR10N105/IR10F379,IR10N105,170,in standardized format,"IR10N105",IR10F221,171,in standardized format,"IR10F221
IR10N105/IR10F379"
N/A,IR10N108/IR10F382,IR10N105,172,in standardized format,"IR10N105",IR10F379,173,in standardized format,"IR10F379
IR10N108/IR10F382"
N/A,IR10N108/IR10F388,IR10N108,174,in standardized format,"IR10N108",IR10F382,175,in standardized format,"IR10F382
IR10N108/IR10F388"
N/A,IR10N108/IR10F402,IR10N108,176,in standardized format,"IR10N108",IR10F388,177,in standardized format,"IR10F388
IR10N108/IR10F402"
N/A,IR10N184/IR 87707-446-B-B-B,IR10N108,178,in standardized format,"IR10N108",IR10F402,179,in standardized format,"IR10F402
IR10N184/IR 87707-446-B-B-B"
N/A,IR10N226/IR 93312-30-101-20-3-66-6,IR10N225,180,in standardized format,"IR10N225",IR 93312-30-101-20-13-64-21,181,in standardized format,"IR 93312#IR 93312-30#IR 93312-30-101#IR 93312-30-101-20#IR 93312-30-101-20-13#IR 93312-30-101-20-13-64#IR 93312-30-101-20-13-64-21
IR10N226/IR 93312-30-101-20-3-66-6"
N/A,IR10N226/IR10L137,IR10N226,182,in standardized format,"IR10N226",IR 93312-30-101-20-3-66-6,183,in standardized format,"IR 93312#IR 93312-30#IR 93312-30-101#IR 93312-30-101-20#IR 93312-30-101-20-3#IR 93312-30-101-20-3-66#IR 93312-30-101-20-3-66-6
IR10N226/IR10L137"
N/A,IR10N226/IR10L149,IR10N226,184,in standardized format,"IR10N226",IR10L137,185,in standardized format,"IR10L137
IR10N226/IR10L149"
N/A,IR10N277/IR 50,IR10N226,186,in standardized format,"IR10N226",IR10L149,187,in standardized format,"IR10L149
IR10N277/IR 50"
N/A,IR10N277/IR 66,IR10N277,188,in standardized format,"IR10N277",IR 50,189,in standardized format,"IR 50
IR10N277/IR 66"
N/A,IR10N277/KALA RATA 1-24,IR10N277,190,in standardized format,"IR10N277",IR 66,191,in standardized format,"IR 66
IR10N277/KALA RATA 1-24"
N/A,IR10N303/KHAIYAN,IR10N277,192,in standardized format,"IR10N277",KALA RATA 1-24,193,in standardized format,"KALA RATA 1#KALA RATA 1-24
IR10N303/KHAIYAN"
N/A,IR10N303/KHO,IR10N303,194,in standardized format,"IR10N303",KHAIYAN,195,in standardized format,"KHAIYAN
IR10N303/KHO"
N/A,IR10N303/IR 97703-457-42-13,IR10N303,196,in standardized format,"IR10N303",KHO,197,in standardized format,"KHO
IR10N303/IR 97703-457-42-13"
N/A,IR10N304/IR 97703-468-21-39,IR10N303,198,in standardized format,"IR10N303",IR 97703-457-42-13,199,in standardized format,"IR 97703#IR 97703-457#IR 97703-457-42#IR 97703-457-42-13
IR10N304/IR 97703-468-21-39"
N/A,IR10N304/MANAWTHUKHA,IR10N304,200,in standardized format,"IR10N304",IR 97703-468-21-39,201,in standardized format,"IR 97703#IR 97703-468#IR 97703-468-21#IR 97703-468-21-39
IR10N304/MANAWTHUKHA"
N/A,IR10N304/IRRI 127,IR10N304,202,in standardized format,"IR10N304",MANAWTHUKHA,203,in standardized format,"MANAWTHUKHA
IR10N304/IRRI 127"
N/A,PR 30245-10-414/IRRI 134,IR10N304,204,in standardized format,"IR10N304",IRRI 127,205,in standardized format,"IRRI 127
PR 30245-10-414/IRRI 134"
N/A,IRRI 146/IR10F379,IRRI 146,206,in standardized format,"IRRI 146",IR10F221,207,in standardized format,"IR10F221
IRRI 146/IR10F379"
N/A,IRRI 154/IR10F382,IRRI 146,208,in standardized format,"IRRI 146",IR10F379,209,in standardized format,"IR10F379
IRRI 154/IR10F382"
N/A,IRRI 154/IR10F388,IRRI 154,210,in standardized format,"IRRI 154",IR10F382,211,in standardized format,"IR10F382
IRRI 154/IR10F388"
N/A,IRRI 104/IR10F402,IRRI 154,212,in standardized format,"IRRI 154",IR10F388,213,in standardized format,"IR10F388
IRRI 104/IR10F402"
N/A,IRRI 104/IR 87707-446-B-B-B,IRRI 104,214,in standardized format,"IRRI 104",IR10F402,215,in standardized format,"IR10F402
IRRI 104/IR 87707-446-B-B-B"
N/A,IRRI 105/IR 88633:1-66-B-1-B,IRRI 104,216,in standardized format,"IRRI 104",IR 87707-446-B-B-B,217,in standardized format,"IR 87707#IR 87707-446#IR 87707-446-B#IR 87707-446-B-B#IR 87707-446-B-B-B
IRRI 105/IR 88633:1-66-B-1-B"
N/A,IR05F102/IR 93312-30-101-20-3-66-6,IR05F102,218,in standardized format,"IR05F102",IR 93312-30-101-20-13-64-21,219,in standardized format,"IR 93312#IR 93312-30#IR 93312-30-101#IR 93312-30-101-20#IR 93312-30-101-20-13#IR 93312-30-101-20-13-64#IR 93312-30-101-20-13-64-21
IR05F102/IR 93312-30-101-20-3-66-6"
N/A,IR07F291/IR10L137,IR05F102,220,in standardized format,"IR05F102",IR 93312-30-101-20-3-66-6,221,in standardized format,"IR 93312#IR 93312-30#IR 93312-30-101#IR 93312-30-101-20#IR 93312-30-101-20-3#IR 93312-30-101-20-3-66#IR 93312-30-101-20-3-66-6
IR07F291/IR10L137"
N/A,IR07F291/IR10L149,IR07F291,222,in standardized format,"IR07F291",IR10L137,223,in standardized format,"IR10L137
IR07F291/IR10L149"
N/A,IR09F173/IR 50,IR07F291,224,in standardized format,"IR07F291",IR10L149,225,in standardized format,"IR10L149
IR09F173/IR 50"
N/A,IR09F173/IR 66,IR09F173,226,in standardized format,"IR09F173",IR 50,227,in standardized format,"IR 50
IR09F173/IR 66"
N/A,IR09F436/KALA RATA 1-24,IR09F173,228,in standardized format,"IR09F173",IR 66,229,in standardized format,"IR 66
IR09F436/KALA RATA 1-24"
N/A,IR09F437/KHO,IR09F436,230,in standardized format,"IR09F436",KHAIYAN,231,in standardized format,"KHAIYAN
IR09F437/KHO"
N/A,IR09F437/IR 97703-457-42-13,IR09F437,232,in standardized format,"IR09F437",KHO,233,in standardized format,"KHO
IR09F437/IR 97703-457-42-13"
N/A,IR10F109/IR 97703-468-21-39,IR09F437,234,in standardized format,"IR09F437",IR 97703-457-42-13,235,in standardized format,"IR 97703#IR 97703-457#IR 97703-457-42#IR 97703-457-42-13
IR10F109/IR 97703-468-21-39"
N/A,IR10F109/MANAWTHUKHA,IR10F109,236,in standardized format,"IR10F109",IR 97703-468-21-39,237,in standardized format,"IR 97703#IR 97703-468#IR 97703-468-21#IR 97703-468-21-39
IR10F109/MANAWTHUKHA"
N/A,IR10F187/IRRI 127,IR10F109,238,in standardized format,"IR10F109",MANAWTHUKHA,239,in standardized format,"MANAWTHUKHA
IR10F187/IRRI 127"
N/A,IR10F187/IRRI 134,IR10F187,240,in standardized format,"IR10F187",IRRI 127,241,in standardized format,"IRRI 127
IR10F187/IRRI 134"
N/A,IR10F192/MA ZHAN (RED),IR10F187,242,in standardized format,"IR10F187",IRRI 134,243,in standardized format,"IRRI 134
IR10F192/MA ZHAN (RED)"
N/A,IR10F192/MEKONGGA,IR10F192,244,in standardized format,"IR10F192",MA ZHAN (RED),245,in standardized format,"MA ZHAN (RED)
IR10F192/MEKONGGA"
N/A,IR10F198/MTU 1010,IR10F192,246,in standardized format,"IR10F192",MEKONGGA,247,in standardized format,"MEKONGGA
IR10F198/MTU 1010"
N/A,IR10F198/NANHI,IR10F198,248,in standardized format,"IR10F198",MTU 1010,249,in standardized format,"MTU 1010
IR10F198/NANHI"
N/A,IR10F203/NSICRC 112,IR10F198,250,in standardized format,"IR10F198",NANHI,251,in standardized format,"NANHI
IR10F203/NSICRC 112"
N/A,IR10F203/NSIC RC 146,IR10F203,252,in standardized format,"IR10F203",NSICRC 112,253,in standardized format,"NSICRC 112
IR10F203/NSIC RC 146"
N/A,IR10F221/OM 4498,IR10F203,254,in standardized format,"IR10F203",NSIC RC 146,255,in standardized format,"NSIC RC 146
IR10F221/OM 4498"
N/A,IR10F221/PH 218-5-3-1,IR10F221,256,in standardized format,"IR10F221",OM 4498,257,in standardized format,"OM 4498
IR10F221/PH 218-5-3-1"
N/A,IRRI 119/TKM 9,IRRI 119,258,in standardized format,"IRRI 119",SAN HUANG ZHAN NO 2,259,in standardized format,"SAN HUANG ZHAN NO 2
IRRI 119/TKM 9"
N/A,IR 72046-B-R-3/A 69-1,IRRI 119,260,in standardized format,"IRRI 119",TKM 9,261,in standardized format,"TKM 9
IR 72046-B-R-3/A 69-1"
N/A,IR 72046-B-R-3/AZUCENA,IR 72046-B-R-3,262,in standardized format,"IR 72046#IR 72046-B#IR 72046-B-R#IR 72046-B-R-3",A 69-1,263,in standardized format,"A 69#A 69-1
IR 72046-B-R-3/AZUCENA"
N/A,IR07T118/CENTAURO,IR 72046-B-R-3,264,in standardized format,"IR 72046#IR 72046-B#IR 72046-B-R#IR 72046-B-R-3",AZUCENA,265,in standardized format,"AZUCENA
IR07T118/CENTAURO"
N/A,IR07T118/COLOMBIA XXI,IR07T118,266,in standardized format,"IR07T118",CENTAURO,267,in standardized format,"CENTAURO
IR07T118/COLOMBIA XXI"
N/A,IR07T118/DASAN,IR07T118,268,in standardized format,"IR07T118",COLOMBIA XXI,269,in standardized format,"COLOMBIA XXI
IR07T118/DASAN"
N/A,MANAW THUKHA/DULAR,IR07T118,270,in standardized format,"IR07T118",DASAN,271,in standardized format,"DASAN
MANAW THUKHA/DULAR"
N/A,MANAW THUKHA/FEDEARROZ 2000,MANAW THUKHA,272,in standardized format,"MANAW THUKHA",DULAR,273,in standardized format,"DULAR
MANAW THUKHA/FEDEARROZ 2000"
N/A,MANAW THUKHA/FEDEARROZ 21,MANAW THUKHA,274,in standardized format,"MANAW THUKHA",FEDEARROZ 2000,275,in standardized format,"FEDEARROZ 2000
MANAW THUKHA/FEDEARROZ 21"
N/A,SADRI/FEDEARROZ 473,MANAW THUKHA,276,in standardized format,"MANAW THUKHA",FEDEARROZ 21,277,in standardized format,"FEDEARROZ 21
SADRI/FEDEARROZ 473"
N/A,SADRI/FEDEARROZ MOCARE,SADRI,278,in standardized format,"SADRI",FEDEARROZ 473,279,in standardized format,"FEDEARROZ 473
SADRI/FEDEARROZ MOCARE"
N/A,IR 13240-108-2-2-3/GIZA 178,SADRI,280,in standardized format,"SADRI",FEDEARROZ MOCARE,281,in standardized format,"FEDEARROZ MOCARE
IR 13240-108-2-2-3/GIZA 178"
N/A,IR 13240-108-2-2-3/IDSA 77,IR 13240-108-2-2-3,282,in standardized format,"IR 13240#IR 13240-108#IR 13240-108-2#IR 13240-108-2-2#IR 13240-108-2-2-3",GIZA 178,283,in standardized format,"GIZA 178
IR 13240-108-2-2-3/IDSA 77"
N/A,ITA 306/IR 2006-P12-12-2-2,IR 13240-108-2-2-3,284,in standardized format,"IR 13240#IR 13240-108#IR 13240-108-2#IR 13240-108-2-2#IR 13240-108-2-2-3",IDSA 77,285,in standardized format,"IDSA 77
ITA 306/IR 2006-P12-12-2-2"
N/A,ITA 306/IR 2307-247-2-2-3,ITA 306,286,in standardized format,"ITA 306",IR 2006-P12-12-2-2,287,"IR 2006-P12^-12-2-2	;string pattern not recognized. #",N/A
