YEAR ,Cross location (ICIS LOCID),CROSS   NO,,FEMALE PARENT,, MALE PARENT ,,REMARKS
,,PR35541,,PR3A,,PR33163-2-3-1,,
,,PR35542,,PR3A,,PR31987-42-1-1,,
,,PR35543,,PR3A,,PR30998-5B-34-1-4,,
,,PR35544,,PR3A,,PR33319-9-1-1-5-2-1,,
,,PR35545,,PR3A,,PR34641-2B-19-1,,
,,PR35546,,PR3A,,PR29788-2B-1,,
,,PR35547,,PR3A,,PR34712-4-1-1-1,,
,,PR35548,,IR68897A,,PR34159-40-1-1,,
,,PR35549,,IR58025A,,PR31968-3-1,,
,,PR35550,,IR58025A,,Mestizo DL-26-1-3,,
,,PR35551,,IR58025A,,PR34159-40-1-1,,
,,PR35552,,IR58025A,,PR34544-B-7-3,,
,,PR35553,,IR58025A,,PR31379-10-1-2,,
,,PR35554,,IR58025A,,PR33329-10-4,,
,,PR35555,,IR58025A,,PR29800-2B-15-1-1-2-3,,
,,PR35556,,IR589025A,,PR34201-2B-3-1-1,,
,,PR35557,,IR58025A,,PR30648-5-4-5-MB-2-2-M-1,,
,,PR35558,,IR58025A,,PR30648-5-2-9-MB-3-1-MB-1,,
,,PR35559,,IR58025A,,PR31980-45-1-2,,
,,PR35560,,IR58025A,,PR34712-4-1-1-1,,
,,PR35561,,IR58025A,,IR77140-24-2-1-2,,
,,PR35562,,IR58025A,,PR36850,,
,,PR35563,,IR58025A,,PR26198-9-1-1-1-1,,
,,PR35564,,IR58025A,,PR36244-HY-1-10-3,,
,,PR35565,,IR58025A,,PR27124-8-5-3-1-3,,
,,PR35566,,IR58025A,,IR69702-69-93-1-3,,
,,PR35567,,IR58025A,,IR74600-26-1-3-2,,
,,PR35568,,IR68897A,,PR33319-9-1-1-5-3,,
,,PR35569,,IR68897A,,IR76994-21-2-1-1,,
,,PR35570,,IR68897A,,PSB RC 18,,
,,PR35571,,IR68897A,,PR34176-2B-1-2-1,,
,,PR35572,,IR68897A,,PR3319-9-1-1-5-2,,
,,PR35573,,IR68897A,,IR74654-6-1-2-2,,
,,PR35574,,IR68897A,,IR7203-121-2-1-1-2,,
,,PR35575,,IR68897A,,IR7203-121-2-1-2,,
,,PR35576,,IR68897A,,PR30646-5-2-9-MB,,
,,PR35577,,IR68897A,,PR32703-4-5-B-B,,
,,PR35578,,IR68897A,,CN 1229-9-3-2-5,,
,,PR35579,,IR68897A,,PR34544-B-7-3,,
,,PR35580,,IR68897A,,IR72889-98-2-2-3,,
,,PR35581,,IR68897A,,PR36248-HY-2-2-2,,
,,PR35582,,IR68897A,,PR36248-HY-1-19-2,,
,,PR35583,,IR68897A,,PR36248-HY-1-4-3,,
,,PR35584,,IR68897A,,PR36248-HY-1-1-2,,
,,PR35585,,IR68897A,,PR36244-HY-4-1-4,,
,,PR35586,,IR68897A,,PR30997-513-2-1-2,,
,,PR35587,,IR68897A,,IET 11768 (RP2397),,
,,PR35588,,IR68897A,,PR29253-1-1-1-3-1,,
,,PR35589,,IR68897A,,PR36248-HY-2-5-6,,
,,PR35590,,IR68897A,,IR69707-10-2-2-3-3,,
,,PR35591,,IR68902A,,PR36244-HY-1-10-3,,
,,PR35592,,IR68902A,,CN1229-9-3-2-5,,
,,PR35593,,IR68902A,,PR36248-HY-2-2-2,,
,,PR35594,,IR69627A,,IR36248-HY-3-5-2,,
,,PR35595,,IR69627A,,IR69702-91-2-3,,
,,PR35596,,IR72079A,,PR36246-HY-1-19-2,,
,,PR35597,,IR72079A,,PR33319-9-1-1-5-3,,
,,PR35598,,IR72079A,,PR36248-HY-3-5-2,,
,,PR35599,,IR72079A,,PR36246-HY-1-16-2,,
,,PR35600,,IR72079A,,PR36248-HY-1-4-3,,
,,PR35601,,IR72079A,,IR72903-121-2-1-2,,
,,PR35602,,IR73328A,,PR34155-4-2-4,,
,,PR35603,,IR73328A,,PR31885-3-1,,
,,PR35604,,IR73328A,,IR72889-98-2-2-3,,
,,PR35605,,IR73328A,,PR36244-HY-1-10-3,,
,,PR35606,,IR73328A,,IR72903-121-2-1-2,,
,,PR35607,,IR73328A,,PR36248-HY-3-5-2,,
,,PR35608,,IR73328A,,PR30998-5B-34-1-4,,
,,PR35609,,IR73328A,,PR36244-HY-1-10-4,,
,,PR35610,,IR73328A,,PR36248-HY-3-4-1,,
,,PR35611,,IR73328A,,PR36246-HY-15-1-3,,
,,PR35612,,IR73328A,,PR36248-HY-1-6-4,,
,,PR35613,,IR73328A,,IR6994-21-2-1-1,,
,,PR35614,,IR80156A,,PR36246-HY-15-1-3,,
,,PR35615,,IR80156A,,PR36244-HY-4-1-2,,
,,PR35616,,IR80156A,,PR36248-HY-3-5-2,,
,,PR35617,,IR80156A,,PR36248-HY-3-6-4,,
,,PR35618,,IR80156A,,PR36505,,
,,PR35619,,PR15A,,PR36248-HY-2-4-4,,
,,PR35620,,PR15A,,PR36248-HY-1-4-3,,
,,PR35621,,PR2A,,PR36248-HY-3-4-1,,
,,PR35622,,PR2A,,PR36248-HY-3-5-2,,
,,PR35623,,PR2A,,PR36248-HY-3-6-4,,
,,PR35624,,PR2A,,PR36248-HY-2-4-4,,
,,PR35625,,PR3A,,PR36248-HY-2-3-5,,
,,PR35626,,PR3A,,PR33319-9-1-1-5-2,,
,,PR35627,,PR3A,,PR36505,,
,,PR35628,,PR3A,,PR27124-8-5-3-1-3,,
,,PR35629,,PR3A,,IR69702-52-3-3,,
,,PR35630,,PR3A,,IR69702-91-2-3,,
,,PR35631,,PR3A,,IR36244-HY-4-1-4,,
,,PR35632,,PR3A,,PR26345-B-8-7-3-1,,
,,PR35633,,PR3A,,PR36248-HY-1-6-4,,
,,PR35634,,PR3A,,PR36244-HY-1-10-3,,
,,PR35635,,PR3A,,PR36248-HY-3-5-2,,
,,PR35636,,IR72079A,,PR31885-3-1,,
,,PR35637,,IR72079A,,PR36244-HY-4-1-4,,
,,PR35638,,IR73328A,,PR36248-HY-1-1-2,,
,,PR35639,,IR73328A,,PR27124-8-5-3-1-3,,
,,PR35640,,IR73328A,,IR73384-31-9-10-16,,
,,PR35641,,PR15A,,PR30648-5-2-9-MB,,
,,PR35642,,PR2A,,IR72876-62-2-2-2,,
,,PR35643,,PR2A,,IR70674-32-3-3-3,,
,,PR35644,,PR2A,,PR313389-11-1,,
,,PR35645,,PR2A,,OPR31987-42-1-1,,
,,PR35646,,PR2A,,PR35071-5-2-2,,
,,PR35647,,PR2A,,IR77509-B-19-1-3-2,,
,,PR35648,,PR2A,,C7176-B-2-3,,
,,PR35649,,PR2A,,Surinam Adron 111,,
,,PR35650,,PR3A,,PR313389-11-1,,
,,PR35651,,PR3A,,Surinam Adron 111,,
,,PR35652,,PR9A,,IR77998-15-3,,
,,PR35653,,PR9A,,C6392-2B-3-3-1-1,,
,,PR35654,,PR9A,,Surinam Adron 125,,
,,PR35655,,IR68902A,,IR72876-62-2-2-2,,
,,PR35656,,IR68902A,,IR79905-49-3-2-2,,
,,PR35657,,IR68902A,,IR80432-11-B-18-1-B,,
,,PR35658,,IR68902A,,PR27843-20-9-3-2-1-4-1-1,,
,,PR35659,,IR68902A,,PR35749,,
,,PR35660,,IR68902A,,NCT COOL #4 06ws,,
,,PR35661,,IR68902A,,Surinam Adron 111,,
,,PR35662,,IR73328A,,IR72876-62-2-2-2,,
,,PR35663,,IR73328A,,IR77186-122-2-2-3,,
,,PR35664,,IR73328A,,Matatag 2-25kr-263-4-23,,
,,PR35665,,IR73328A,,C7176-B-2-3,,
,,PR35666,,IR73328A,,PR36504,,
,,PR35667,,IR72079A,,Surinam Adron 111,,
,,PR35668,,IR72079A,,Surinam Adron 125,,
,,PR35669,,IR79156A,,IR69715-123-1-3R,,
,,PR35670,,IR79156A,,IR72875-94-3-3-2,,
,,PR35671,,IR79156A,,IR73006-12-3-3-2,,
,,PR35672,,IR79156A,,PR34141-28-1,,
,,PR35673,,IR79156A,,C6395-2B-1-2,,
,,PR35674,,IR79156A,,PR35749,,
,,PR35675,,IR79156A,,NCT COOL # 105,,
,,PR35676,,IR79156A,,IR69715-123-1-3R,,
,,PR35677,,IR73069A,,IR7875-94-3-3-2,,
,,PR35678,,IR73069A,,IR72876-62-2-2-2,,
,,PR35679,,IR73069A,,IR79905-49-3-2-2,,
,,PR35680,,IR73069A,,IR75282-58-1-2-3,,
,,PR35681,,IR73069A,,IR76074-32-3-3-3,,
,,PR35682,,IR73069A,,IR77998-15-3,,
,,PR35683,,IR73069A,,PR31389-11-1,,
,,PR35684,,IR58025A,,PR36246-HY-1-14-3,,
,,PR35685,,IR73069A,,PR31987-42-1-1,,
,,PR35686,,IR73069A,,PR34736-3-1-1-2,,
,,PR35687,,IR73069A,,C7176-B-2-3,,
,,PR35688,,IR73069A,,PR35749,,
,,PR35689,,IR73069A,,PR36504,,
,,PR35690,,IR73069A,,Surinam Adron 111,,
,,PR35691,,IR73069A,,Surinam Adron 125,,
,,PR35692,,PR15A,,IR77998-15-3,,
,,PR35693,,PR15A,,IR80432-11-B-18-1B,,
,,PR35694,,PR15A,,PR31389-11-1,,
,,PR35695,,PR15A,,PR27843-20-9-3-2-1-4-1-1,,
,,PR35696,,PR15A,,PR35749,,
,,PR35697,,PR15A,,Surinam Adron 125,,
,,PR35698,,PR19A,,IR72875-94-3-3-2,,
,,PR35699,,PR19A,,IR79905-49-3-2-2,,
,,PR35700,,PR19A,,PR33163-6-1-3R,,
,,PR35701,,PR19A,,IR77186-122-2-2-3,,
,,PR35702,,PR19A,,Surinam Adron 111,,
,,PR35703,,PR19A,,Surinam Adron 125,,
,,PR35704,,PR20A,,IR79905-49-3-2-2,,
,,PR35705,,PR20A,,PR31132-B-1-1-1-3-3,,
,,PR35706,,PR20A,,IR77186-122-2-2-3,,
,,PR35707,,PR20A,,C7176-B-2-3,,
,,PR35708,,PR20A,,PR8787-WH-7-1-3,,
,,PR35709,,PR20A,,PR35749,,
,,PR35710,,PR20A,,Surinam Adron 111,,
,,PR35711,,IR58025A,,IR69702-52-3-3,,
,,PR35712,,IR73328A,,PR31980-45-1-2,,
,,PR35713,,IR73328A,,PR36248-HY-2-3-5,,
,,PR35714,,IR73328A,,PR36244-HY-4-1-4,,
,,PR35715,,IR73328A,,PR36244-HY-4-1-2,,
,,PR35716,,IR73328A,,PR36248-HY-3-5-3,,
,,PR35717,,IR80156A,,IR73384-31-9-10-16,,
,,PR35718,,IR80156A,,PR36246-HY-1-9-2,,
,,PR35719,,PR3A,,PR36248-HY-3-6-4,,
,,PR35720,,PR3A,,PR36244-HY-1-10-4,,
,,PR35721,,PR2A,,PR727870-19-2-2-3,,
,,PR35722,,PR3A,,RB 45,,
,,PR35723,,IR68897A,,C7006-PR-B4-197,,
,,PR35724,,IR58025A,,PR36246-1-17-3,,
,,PR35725,,IR58025A,,PR36246-HY-18-1-1,,
,,PR35726,,IR58025A,,PR36246-1-19-2-2,,
,,PR35727,,IR58025A,,SURINAM ADRON 117,,
,,PR35728,,IR58025A,,AC66-1/IR34686R/AC-02-DP-3,,
,,PR35729,,IR58025A,,PR246-R-1-1,,
,,PR35730,,IR58025A,,PR37246-2-2-2-1,,
2000DS,,PR35731A,,913A,,PSB Rc4      ,,PR5
2000DS,,PR35732A,,28A,,PSB Rc12     ,,PR6
2000DS,,PR35733A,,28A,,PSB Rc28    ,,PR7-1
2000DS,,PR35734A,,28A,,PSB Rc28    ,,PR7-2
2000DS,,PR35735A,,913A,,NEKKEN 2    ,,PR8
2000DS,,PR35736A,,PR9A (Chinese Introduction),,PR9B  (Chinese Introduction),,PR9
2001DS,,PR35737A,,PR10A (Chinese Introduction),,BoB,,PR10
2002WS,,PR35738A,,28A,,PSB Rc22      ,,PR11
2002WS,,PR35739A,,IR68896A,,PK14             ,,PR12
2002WS,,PR35740A,,IR72795A,,IR62171-122-3-2-3-3R     ,,PR13
2002WS,,PR35741A,,IR68901A,,O-51              ,,PR14
2002WS,,PR35742A,,PR24069A,,IR72079B       ,,PR15
2002WS,,PR35743A,,IR68901A,,PR25099-2-3   ,,PR16
2003WS,,PR35744A,,IR72083A,,IR72079B        ,,PR17
2003WS,,PR35745A,,IR69625A,,IR68888B         ,,PR18
2005,,PR35746,,BOB,,IR69626B,,BXB
2005,,PR35747,,PR24069B,,IR72083B,,BXB
2002WS,,PR35748,,IR68888A,,IR63870R-IR-5-2,,B/R
2002WS,,PR35749,,IR16365-5A,,FAROX317-8-2-3,,B/R
2002WS,,PR35750,,IR16365-5A,,FAROX317-8-2-4,,B/R
2003WS,,PR35751,,PR24069A,,IR68840-36-2-2-3-1,,B/R
2003WS,,PR35752,,PR24069A,,PSB Rc56,,B/R
2003WS,,PR35753,,PR24069A,,IR65620-192-3-3-3-2,,B/R
2005,,PR35754,,PR35714B,,IR70371B,,BXB
2005,,PR35755,,PR35714B,,IR68902B,,BXB
IL 04DS,,PR35756,,AR32-19-3-4,,PR34001,,
,,PR35757,,IR65907-116-1-B,,MATATAG 5,,
,,PR35758,,IR65907-116-1-B,,PSB Rc10/MS15,,
,,PR35759,,IR65907-116-1-B,,PANDAN (MS6),,
,,PR35760,,PJ 22,,MATATAG 9,,
,,PR35761,,PJ 22,,BURDAGOL (A),,
,,PR35762,,PR34058,,PSB Rc18,,
,,PR35763,,PSB Rc12,,PR29887-21,,
,,PR35764,,PSB Rc12,,IR74286-55-2-3-23,,
,,PR35765,,PSB Rc14,,IR74286-55-2-3-2-3,,
,,PR35766,,PSB Rc14,,PR31561-AR32-11-63-3,,
,,PR35767,,PSB Rc14,,AR32-19-3-3,,
,,PR35768,,PSB Rc14,,IR75288-144-1-3,,
,,PR35769,,PSB Rc28,,IR65907-116-1-B,,
,,PR35770,,PR29264-AC-47,,PR34050,,
,,PR35771,,IR65907-116-1-B,,CRF 2,,
,,PR35772,,AR32-19-3-4,,PR34077,,
,,PR35773,,MATATAG 5,,IR72967-12-2-3,,
,,PR35774,,MATATAG 6,,HJ XIAN,,
,,PR35775,,HJ XIAN,,IR72967-12-2-3,,
,,PR35776,,PSB Rc4,,BURDAGOL (A),,
,,PR35777,,PSB Rc4,,MATATAG 9,,
,,PR35778,,MATATAG 2,,PR34591,,
,,PR35779,,IR72967-12-2-3,,YANG YOU,,
,,PR35780,,PJ21,,HJ XIAN,,
,,PR35781,,PJ21,,MATATAG 9,,
,,PR35782,,PR31097-B-16-2-2,,MATATAG 9,,
,,PR35783,,IR74,,BURDAGOL (A),,
,,PR35784,,IR74,,YONG YOU,,
,,PR35785,,IR74,,PANDAN (MS 6),,
,,PR35786,,AR32-19-3-3,,PR33214,,
,,PR35787,,PR30058,,AR32-19-3-4,,
,,PR35788,,PR30975-2-1,,PR34199,,
,,PR35789,,PR30975-2-1,,AR32-19-3-3,,
,,PR35790,,PR30975-2-1,,PSB Rc18,,
,,PR35791,,HJ XIAN,,IR72967-12-2-3,,
,,PR35792,,PR29762,,PR33214/IR66738-118-1-1(25kr),,
,,PR35793,,MATATAG 3,,PR33220/MAGNOLIA,,
,,PR35794,,MATATAG 5,,PR33207/MATATAG 5,,
,,PR35795,,PR30215-OM-1-14-1/BPI Ri10,,MATATAG 5,,
,,PR35796,,THDB,,RANAN,,
,,PR35797,,TEQUING,,AR32-19-3-4,,
,,PR35798,,YUNGING 40,,IR67406 (A),,
,,PR35799,,YUNGING 40,,PSB Rc14,,
,,PR35800,,YUNGING 40,,MS 15,,
,,PR35801,,YUNGING 40,,PSB Rc28,,
,,PR35802,,YUNGING 40,,AR32-19-3-4,,
SP - 04DS,,PR35803,,BURDAGOL (A),,MEMBRANO,,
,,PR35804,,BURDAGOL (A),,B LINE MESTIZO,,
,,PR35805,,BURDAGOL (A),,IR74286-55-2-3-2-3,,
,,PR35806,,BURDAGOL (A),,IR68144,,
,,PR35807,,BURDAGOL (A),,IR67406,,
,,PR35808,,IR65907-116-1-B,,MS HYBRID,,
,,PR35809,,IR67406,,PJ18,,
,,PR35810,,IR67406,,BURDAGOL (A),,
,,PR35811,,IR67406,,MS HYBRID,,
,,PR35812,,IR68144,,SN 73,,
,,PR35813,,IR68144,,DINORADO G,,
,,PR35814,,IR68144,,BURDAGOL (A),,
,,PR35815,,GLUTINOUS H,,C6537-60-1 (G),,
,,PR35816,,GLUTINOUS H,,PR34206,,
,,PR35817,,GLUTINOUS H,,PR30623-3B-2 (G),,
,,PR35818,,GLUTINOUS H,,PR34199,,
,,PR35819,,PR34199,,GLUTINOUS H,,
,,PR35820,,PR34192,,GLUTINOUS H,,
,,PR35821,,PR33311,,JAPAYUKI,,
,,PR35822,,MS HYBRID,,MS 15,,
,,PR35823,,MS HYBRID,,BURDAGOL (A),,
,,PR35824,,MS HYBRID,,IR72659-54-1-1-1 (A),,
,,PR35825,,MS HYBRID,,IR74597-54-1-1-1 (A),,
,,PR35826,,KINANDANG PATONG,,BURDAGOL (A),,
,,PR35827,,PR34202,,PANDAN,,
,,PR35828,,PR34206,,GLUTINOUS H,,
,,PR35829,,PR30623-3B-1,,PANDAN,,
,,PR35830,,PJ18,,BURDAGOL (A),,
,,PR35831,,PJ18,,MS HYBRID,,
,,PR35832,,PJ18,,IR67406 (A),,
,,PR35833,,PANDAN,,IR74597-54-1-1-1 (A),,
,,PR35834,,PANDAN,,PR30623-3B-1,,
,,PR35835,,PANDAN,,PR34202,,
,,PR35836,,PANDAN,,BURDAGOL (A),,
,,PR35837,,PR28753-9-1-2(A),,IR841-85 (A),,
,,PR35838,,PR28753-6-2-1,,IR74597-54-1-1-1 (A),,
,,PR35839,,BURDAGOL (A),,IR67406 (A),,
,,PR35840,,BURDAGOL (A),,IR68144 (A),,
,,PR35841,,BURDAGOL (A),,IR74597-54-1-1-1 (A),,
,,PR35842,,BURDAGOL (A),,AR32-19-3-4,,
,,PR35843,,BURDAGOL (A),,PR26600-B-4 (A),,
,,PR35844,,LI 395-1,,FR 4,,
,,PR35845,,LI 395-1,,YANG YOU,,
,,PR35846,,PR25545-2-1-2-1,,IMS 2,,
,,PR35847,,PR28280-1-1-1-2,,PR29163-R2-2-1,,
,,PR35848,,PR30900,,FR 4,,
,,PR35849,,ZAMBOANGITA,,PR30900,,
,,PR35850,,MS-H,,AR32-19-3-4,,
,,PR35851,,PR27927-13-1-1-1-2-1 (G),,PR27425-1 (MS8),,
DS - 04DS,,PR35852,,MATATAG 2,,IR73888-1-2-7,,
,,PR35853,,MATATAG 2,,DL 315-PR1,,
,,PR35854,,MATATAG 2,,PR32341-4-4-2-3,,
,,PR35855,,MATATAG 2,,PR32357-5-2-2,,
,,PR35856,,MATATAG 2,,IR64,,
,,PR35857,,MATATAG 9,,DL 315-PRI,,
,,PR35858,,PR32341-44-2-3,,PR32443-1-3-3-1,,
,,PR35859,,PR32341-44-2-3,,PR31349-76-3,,
,,PR35860,,PR32341-44-2-3,,PR31349-47-3,,
,,PR35861,,PR32341-44-2-3,,IR64,,
,,PR35862,,IR71701-28-1-4,,IR73885-1-4-3-2-1-4,,
,,PR35863,,IR71701-28-1-4,,DL 315-PRI,,
,,PR35864,,IR71701-28-1-4,,PR32357-5-2-2,,
,,PR35865,,IR72158-16-3-3,,IR73885-1-4-3-2-1-4,,
,,PR35866,,PR31561-AR32-19-3-3,,IR73888-1-2-7,,
,,PR35867,,PR31561-AR32-19-3-3,,IR72158-16-3-3,,
,,PR35868,,PR31561-AR32-19-3-3,,PR32443-1-3-3-1,,
,,PR35869,,PR31561-AR32-19-3-3,,PR32357-5-2-2,,
,,PR35870,,PR32443-1-3-3-1,,MATATAG 3,,
,,PR35871,,PR32443-1-3-3-1,,MATATAG 4,,
,,PR35872,,PR32443-1-3-3-1,,PR32589-6-1,,
,,PR35873,,PR32443-1-3-3-1,,IR71606-2-1-1-1-3-3-1-2,,
,,PR35874,,PR32443-1-3-3-1,,PR31349-47-3,,
,,PR35875,,PR32357-5-2-2,,IR73885-1-4-3-2-1-4,,
,,PR35876,,PR32357-5-2-2,,IR73888-1-2-7,,
,,PR35877,,PR32357-5-2-2,,DL 315-PRI,,
,,PR35878,,PR32357-5-2-2,,PR32589-6-1-2,,
DS 04DS,,PR35879,,PR32357-5-2-2,,PR32443-1-3-3-1,,
BLB 04DS,,PR35880,,IF 42,,MATATAG 6,,
,,PR35881,,AR32-4-5-2,,MATATAG 9,,
,,PR35882,,AR32-19-3-3,,MATATAG 9,,
,,PR35883,,AR-19-3-3,,IR75082-99-10-9-IB,,
,,PR35884,,AR-19-3-4,,IR73888-1-2-7,,
,,PR35885,,AR-19-3-4,,MATATAG 3,,
,,PR35886,,I SH 20,,IR73888-1-2-7,,
,,PR35887,,I SH 58,,MATATAG 6,,
,,PR35888,,I SH 65,,IR73888-1-2-7,,
,,PR35889,,I SH 65,,MATATAG 3,,
,,PR35890,,I SH 64,,MATATAG 3,,
DS 04DS,,PR35891,,MATATAG 9,,PR32589-6-1,,
,,PR35892,,PR32341-4-4-2-3,,IR73885-1-4-3-2-1-4,,
,,PR35893,,PR32341-4-4-2-3,,PSB Rc54,,
,,PR35894,,IR71701-28-1-4,,MATATAG 3,,
,,PR35895,,IR71701-28-1-4,,MATATAG 4,,
,,PR35896,,IR71701-28-1-4,,PR31561-AR32-19-3-3,,
,,PR35897,,IR71701-28-1-4,,PR31349-76-3,,
,,PR35898,,IR71701-28-1-4,,PR31349-47-3,,
,,PR35899,,PSB Rc54,,IR73888-1-2-7,,
,,PR35900,,IR72158-16-3-3,,MATATAG 9,,
,,PR35901,,AR 32-19-3-3,,IR73885-1-4-3-2-14,,
,,PR35902,,AR 32-19-3-3,,DL 315-PR1,,
,,PR35903,,AR 32-19-3-3,,PR32589-6-1,,
,,PR35904,,AR 32-19-3-3,,IR71606-2-1-1-1-3-3-1-2,,
,,PR35905,,AR 32-19-3-3,,PR32357-5-2-2,,
,,PR35906,,PR2 A,,PR26610-1-3-2,,
,,PR35907,,PR2 A,,PR31559-AR-32-4-5-2,,
,,PR35908,,PR2 A,,IR72889-69-2-2-2,,
,,PR35909,,PR2 A,,IR69021-24-3-2-2-3-3-3,,
,,PR35910,,PR2 A,,PJ 16,,
,,PR35911,,PR2 A,,PSB Rc66,,
,,PR35912,,PR2 A,,PSB Rc90,,
,,PR35913,,PR2 A,,PR26610-B-10-1,,
,,PR35914,,PR2 A,,PR25348-1,,
,,PR35915,,PR2 A,,IR62161R,,
,,PR35916,,PR2 A,,IR65-483-14-14-13R,,
,,PR35917,,PR2 A,,TGS 42-1,,
,,PR35918,,PR2 A,,Rc6,,
,,PR35919,,PR2 A,,AR 32-19-4,,
,,PR35920,,PR2 A,,PR25602-132-3-1,,
,,PR35921,,PR2 A,,PR33215,,
,,PR35922,,PR2 A,,PJ23,,
,,PR35923,,PR2 A,,IR71866-3R-1-2-1B,,
,,PR35924,,PR9 A,,PR31258-1,,
,,PR35925,,PR9 A,,IR63870R,,
,,PR35926,,PR9 A,,IR59682-132-1-1-3R,,
,,PR35927,,PR9 A,,IRBB-52,,
,,PR35928,,PR9 A,,IR71866-3R-1-2-1B,,
,,PR35929,,IR58025A,,IR72875-94-3-3-2,,
,,PR35930,,IR58025A,,PR26610-1-3-2,,
,,PR35931,,IR58025A,,PR31559-AR-32-4-5-2,,
,,PR35932,,IR58025A,,IR71676-90-2-2,,
,,PR35933,,IR58025A,,PR32102-6-1-3B,,
,,PR35934,,IR58025A,,PSB Rc30,,
,,PR35935,,IR58025A,,PR31566-(1)-1,,
,,PR35936,,IR58025A,,IR72078-19-2-2-3,,
,,PR35937,,IR58025A,,IR72868-10-1-3-2,,
,,PR35938,,IR58025A,,C5520-1-1-3,,
,,PR35939,,IR58025A,,IR61920-3B-2-2-1,,
,,PR35940,,IR58025A,,PJ2,,
,,PR35941,,,,,,
